"","Department","Position","Place.of.Residence","PositionID"
"28142","University of Iowa","Assistant Counsel","JOHNSON",28142
"28143","University of Iowa","Assistant Dean","CERRO GORDO",28143
"28144","University of Iowa","Assistant Dean","FORSYTH",28144
"28145","University of Iowa","Assistant Dean","JOHNSON",28145
"28146","University of Iowa","Assistant Dean","LINN",28146
"28147","University of Iowa","Assistant Dean","MULTNOMAH",28147
"28148","University of Iowa","Assistant Dean","MUSCATINE",28148
"28149","University of Iowa","Assistant Dean","OLMSTED",28149
"28150","University of Iowa","Assistant Dean","WASHINGTON",28150
"28151","University of Iowa","Assistant Dir, Law Librarians","JOHNSON",28151
"28152","University of Iowa","Assistant Director, Mgmt Svcs","CEDAR",28152
"28153","University of Iowa","Assistant Director, Mgmt Svcs","IOWA",28153
"28154","University of Iowa","Assistant Director, Mgmt Svcs","JOHNSON",28154
"28155","University of Iowa","Assistant Director, Mgmt Svcs","LINN",28155
"28156","University of Iowa","Assistant Director, Mgmt Svcs","WASHINGTON",28156
"28157","University of Iowa","Assistant Director,UIHC","JOHNSON",28157
"28158","University of Iowa","Assistant Director,UIHC","LINN",28158
"28159","University of Iowa","Assistant Director,UIHC","MUSCATINE",28159
"28160","University of Iowa","Assistant Director,UIHC","SNOHOMISH",28160
"28161","University of Iowa","Assistant Equipment Manager","JOHNSON",28161
"28162","University of Iowa","Assistant In Instruction","BANNOCK",28162
"28163","University of Iowa","Assistant In Instruction","BLACK HAWK",28163
"28164","University of Iowa","Assistant In Instruction","CEDAR",28164
"28165","University of Iowa","Assistant In Instruction","COOK",28165
"28166","University of Iowa","Assistant In Instruction","DANE",28166
"28167","University of Iowa","Assistant In Instruction","IOWA",28167
"28168","University of Iowa","Assistant In Instruction","JOHNSON",28168
"28169","University of Iowa","Assistant In Instruction","LINN",28169
"28170","University of Iowa","Assistant In Instruction","LOS ANGELES",28170
"28171","University of Iowa","Assistant In Instruction","LOUISA",28171
"28172","University of Iowa","Assistant In Instruction","MUSCATINE",28172
"28173","University of Iowa","Assistant In Instruction","SCOTT",28173
"28174","University of Iowa","Assistant In Instruction","TAMA",28174
"28175","University of Iowa","Assistant In Instruction","WASHINGTON",28175
"28176","University of Iowa","Assistant Industrial Hygienist","JOHNSON",28176
"28177","University of Iowa","Assistant Industrial Hygienist","LOUISA",28177
"28178","University of Iowa","Assistant Manager,Bookstore","JOHNSON",28178
"28179","University of Iowa","Assistant Nurse Manager","ADAMS",28179
"28180","University of Iowa","Assistant Nurse Manager","BENTON",28180
"28181","University of Iowa","Assistant Nurse Manager","BLACK HAWK",28181
"28182","University of Iowa","Assistant Nurse Manager","BUCHANAN",28182
"28183","University of Iowa","Assistant Nurse Manager","CEDAR",28183
"28184","University of Iowa","Assistant Nurse Manager","HENRY",28184
"28185","University of Iowa","Assistant Nurse Manager","IOWA",28185
"28186","University of Iowa","Assistant Nurse Manager","Johnson",28186
"28187","University of Iowa","Assistant Nurse Manager","JOHNSON",28187
"28188","University of Iowa","Assistant Nurse Manager","JONES",28188
"28189","University of Iowa","Assistant Nurse Manager","KEOKUK",28189
"28190","University of Iowa","Assistant Nurse Manager","LINN",28190
"28191","University of Iowa","Assistant Nurse Manager","LOUISA",28191
"28192","University of Iowa","Assistant Nurse Manager","MARICOPA",28192
"28193","University of Iowa","Assistant Nurse Manager","MERCER",28193
"28194","University of Iowa","Assistant Nurse Manager","Muscatine",28194
"28195","University of Iowa","Assistant Nurse Manager","MUSCATINE",28195
"28196","University of Iowa","Assistant Nurse Manager","OLMSTED",28196
"28197","University of Iowa","Assistant Nurse Manager","ROCK ISLAND",28197
"28198","University of Iowa","Assistant Nurse Manager","SCOTT",28198
"28199","University of Iowa","Assistant Nurse Manager","WASHINGTON",28199
"28200","University of Iowa","Assistant Power Plant Manager","BENTON",28200
"28201","University of Iowa","Assistant Power Plant Manager","JOHNSON",28201
"28202","University of Iowa","Assistant Professor","ALACHUA",28202
"28203","University of Iowa","Assistant Professor","ALEXANDRIA CITY",28203
"28204","University of Iowa","Assistant Professor","ANCHORAGE",28204
"28205","University of Iowa","Assistant Professor","BALTIMORE",28205
"28206","University of Iowa","Assistant Professor","BERNALILLO",28206
"28207","University of Iowa","Assistant Professor","BOONE",28207
"28208","University of Iowa","Assistant Professor","BROOME",28208
"28209","University of Iowa","Assistant Professor","BROWARD",28209
"28210","University of Iowa","Assistant Professor","CAMDEN",28210
"28211","University of Iowa","Assistant Professor","CAPE GIRARDEAU",28211
"28212","University of Iowa","Assistant Professor","CEDAR",28212
"28213","University of Iowa","Assistant Professor","CENTRE",28213
"28214","University of Iowa","Assistant Professor","CHATHAM",28214
"28215","University of Iowa","Assistant Professor","CHEMUNG",28215
"28216","University of Iowa","Assistant Professor","COOK",28216
"28217","University of Iowa","Assistant Professor","COWLITZ",28217
"28218","University of Iowa","Assistant Professor","CUYAHOGA",28218
"28219","University of Iowa","Assistant Professor","DALLAS",28219
"28220","University of Iowa","Assistant Professor","DANE",28220
"28221","University of Iowa","Assistant Professor","DAUPHIN",28221
"28222","University of Iowa","Assistant Professor","DAVIDSON",28222
"28223","University of Iowa","Assistant Professor","DEKALB",28223
"28224","University of Iowa","Assistant Professor","DISTRICT OF COLUMBIA",28224
"28225","University of Iowa","Assistant Professor","DOUGLAS",28225
"28226","University of Iowa","Assistant Professor","DUBUQUE",28226
"28227","University of Iowa","Assistant Professor","DUPAGE",28227
"28228","University of Iowa","Assistant Professor","ESSEX",28228
"28229","University of Iowa","Assistant Professor","FOREIGN",28229
"28230","University of Iowa","Assistant Professor","FORSYTH",28230
"28231","University of Iowa","Assistant Professor","FORT BEND",28231
"28232","University of Iowa","Assistant Professor","FRANKLIN",28232
"28233","University of Iowa","Assistant Professor","FULTON",28233
"28234","University of Iowa","Assistant Professor","GRAFTON",28234
"28235","University of Iowa","Assistant Professor","HANOVER",28235
"28236","University of Iowa","Assistant Professor","HARRIS",28236
"28237","University of Iowa","Assistant Professor","HENNEPIN",28237
"28238","University of Iowa","Assistant Professor","HENRICO",28238
"28239","University of Iowa","Assistant Professor","HILLSBOROUGH",28239
"28240","University of Iowa","Assistant Professor","HOWARD",28240
"28241","University of Iowa","Assistant Professor","IOWA",28241
"28242","University of Iowa","Assistant Professor","IROQUOIS",28242
"28243","University of Iowa","Assistant Professor","JEFFERSON",28243
"28244","University of Iowa","Assistant Professor","Johnson",28244
"28245","University of Iowa","Assistant Professor","JOHNSON",28245
"28246","University of Iowa","Assistant Professor","KEOKUK",28246
"28247","University of Iowa","Assistant Professor","KING",28247
"28248","University of Iowa","Assistant Professor","KINGS",28248
"28249","University of Iowa","Assistant Professor","KOREA",28249
"28250","University of Iowa","Assistant Professor","LANE",28250
"28251","University of Iowa","Assistant Professor","LEE",28251
"28252","University of Iowa","Assistant Professor","Linn",28252
"28253","University of Iowa","Assistant Professor","LINN",28253
"28254","University of Iowa","Assistant Professor","LOS ALAMOS",28254
"28255","University of Iowa","Assistant Professor","LOS ANGELES",28255
"28256","University of Iowa","Assistant Professor","MARICOPA",28256
"28257","University of Iowa","Assistant Professor","MARION",28257
"28258","University of Iowa","Assistant Professor","MCLEAN",28258
"28259","University of Iowa","Assistant Professor","MERCER",28259
"28260","University of Iowa","Assistant Professor","MIAMI-DADE",28260
"28261","University of Iowa","Assistant Professor","MIDDLESEX",28261
"28262","University of Iowa","Assistant Professor","MILWAUKEE",28262
"28263","University of Iowa","Assistant Professor","MONROE",28263
"28264","University of Iowa","Assistant Professor","MONTGOMERY",28264
"28265","University of Iowa","Assistant Professor","MORRIS",28265
"28266","University of Iowa","Assistant Professor","MUSCATINE",28266
"28267","University of Iowa","Assistant Professor","NEW HAVEN",28267
"28268","University of Iowa","Assistant Professor","NEW YORK",28268
"28269","University of Iowa","Assistant Professor","NORFOLK",28269
"28270","University of Iowa","Assistant Professor","NORFOLK CITY",28270
"28271","University of Iowa","Assistant Professor","OAKLAND",28271
"28272","University of Iowa","Assistant Professor","OKTIBBEHA",28272
"28273","University of Iowa","Assistant Professor","OLMSTED",28273
"28274","University of Iowa","Assistant Professor","ORANGE",28274
"28275","University of Iowa","Assistant Professor","ORLEANS",28275
"28276","University of Iowa","Assistant Professor","PAYNE",28276
"28277","University of Iowa","Assistant Professor","PHILADELPHIA",28277
"28278","University of Iowa","Assistant Professor","PIERCE",28278
"28279","University of Iowa","Assistant Professor","PIMA",28279
"28280","University of Iowa","Assistant Professor","POLK",28280
"28281","University of Iowa","Assistant Professor","PROVIDENCE",28281
"28282","University of Iowa","Assistant Professor","PULASKI",28282
"28283","University of Iowa","Assistant Professor","RAMSEY",28283
"28284","University of Iowa","Assistant Professor","RIVERSIDE",28284
"28285","University of Iowa","Assistant Professor","RUTHERFORD",28285
"28286","University of Iowa","Assistant Professor","SACRAMENTO",28286
"28287","University of Iowa","Assistant Professor","SACREMENTO",28287
"28288","University of Iowa","Assistant Professor","SAINT LOUIS",28288
"28289","University of Iowa","Assistant Professor","SAN DIEGO",28289
"28290","University of Iowa","Assistant Professor","SANGAMON",28290
"28291","University of Iowa","Assistant Professor","SANTA CLARA",28291
"28292","University of Iowa","Assistant Professor","SANTA CRUZ",28292
"28293","University of Iowa","Assistant Professor","SCOTT",28293
"28294","University of Iowa","Assistant Professor","SEDGWICK",28294
"28295","University of Iowa","Assistant Professor","SPOKANE",28295
"28296","University of Iowa","Assistant Professor","ST LOUIS",28296
"28297","University of Iowa","Assistant Professor","STAUNTON CITY",28297
"28298","University of Iowa","Assistant Professor","SUFFOLK",28298
"28299","University of Iowa","Assistant Professor","TOMPKINS",28299
"28300","University of Iowa","Assistant Professor","TULSA",28300
"28301","University of Iowa","Assistant Professor","WASHINGTON",28301
"28302","University of Iowa","Assistant Professor","WASHTENAW",28302
"28303","University of Iowa","Assistant Professor","WILL",28303
"28304","University of Iowa","Assistant Professor","WILLIAMSON",28304
"28305","University of Iowa","Assistant Professor","WINNESHIEK",28305
"28306","University of Iowa","Assistant Professor","YOLO",28306
"28307","University of Iowa","Assistant Professor Emeritus","DOOR",28307
"28308","University of Iowa","Assistant Professor Emeritus","JOHNSON",28308
"28309","University of Iowa","Assistant Professor Emeritus","SCOTT",28309
"28310","University of Iowa","Assistant Provost","JOHNSON",28310
"28311","University of Iowa","Assistant Registrar,Services","JOHNSON",28311
"28312","University of Iowa","Assistant Research Engineer","JOHNSON",28312
"28313","University of Iowa","Assistant Research Engineer","LUBBOCK",28313
"28314","University of Iowa","Assistant Research Engineer","SANTA CLARA",28314
"28315","University of Iowa","Assistant Research Engineer","WESTCHESTER",28315
"28316","University of Iowa","Assistant Research Engineer","WILLIAMSON",28316
"28317","University of Iowa","Assistant Research Scientist","ALEXANDRIA CITY",28317
"28318","University of Iowa","Assistant Research Scientist","ALLEGHENY",28318
"28319","University of Iowa","Assistant Research Scientist","BOULDER",28319
"28320","University of Iowa","Assistant Research Scientist","CEDAR",28320
"28321","University of Iowa","Assistant Research Scientist","CHAMPAIGN",28321
"28322","University of Iowa","Assistant Research Scientist","CHARLOTTESVILLE CITY",28322
"28323","University of Iowa","Assistant Research Scientist","CUYAHOGA",28323
"28324","University of Iowa","Assistant Research Scientist","DEKALB",28324
"28325","University of Iowa","Assistant Research Scientist","DELAWARE",28325
"28326","University of Iowa","Assistant Research Scientist","DUBUQUE",28326
"28327","University of Iowa","Assistant Research Scientist","ESSEX",28327
"28328","University of Iowa","Assistant Research Scientist","FOREIGN",28328
"28329","University of Iowa","Assistant Research Scientist","FORT BEND",28329
"28330","University of Iowa","Assistant Research Scientist","Johnson",28330
"28331","University of Iowa","Assistant Research Scientist","JOHNSON",28331
"28332","University of Iowa","Assistant Research Scientist","KANE",28332
"28333","University of Iowa","Assistant Research Scientist","KINGS",28333
"28334","University of Iowa","Assistant Research Scientist","LINN",28334
"28335","University of Iowa","Assistant Research Scientist","MERCER",28335
"28336","University of Iowa","Assistant Research Scientist","MIDDLESEX",28336
"28337","University of Iowa","Assistant Research Scientist","MONTGOMERY",28337
"28338","University of Iowa","Assistant Research Scientist","OKLAHOMA",28338
"28339","University of Iowa","Assistant Research Scientist","ORANGE",28339
"28340","University of Iowa","Assistant Research Scientist","PICKENS",28340
"28341","University of Iowa","Assistant Research Scientist","POLK",28341
"28342","University of Iowa","Assistant Research Scientist","SANTA CLARA",28342
"28343","University of Iowa","Assistant Research Scientist","SCOTT",28343
"28344","University of Iowa","Assistant Research Scientist","STORY",28344
"28345","University of Iowa","Assistant Research Scientist","STRAFFORD",28345
"28346","University of Iowa","Assistant Research Scientist","SUFFOLK",28346
"28347","University of Iowa","Assistant Research Scientist","VENTURA",28347
"28348","University of Iowa","Assistant Research Scientist","WASHINGTON",28348
"28349","University of Iowa","Assistant Technical Director","JOHNSON",28349
"28350","University of Iowa","Assistant to Associate VP","IOWA",28350
"28351","University of Iowa","Assistant to Associate VP","JOHNSON",28351
"28352","University of Iowa","Assistant to the Dean/VP","JOHNSON",28352
"28353","University of Iowa","Assistant to the Registrar","CEDAR",28353
"28354","University of Iowa","Assistant to the Registrar","JOHNSON",28354
"28355","University of Iowa","Assistant Vice President","BALDWIN",28355
"28356","University of Iowa","Assistant Vice President","BALTIMORE CITY",28356
"28357","University of Iowa","Assistant Vice President","CEDAR",28357
"28358","University of Iowa","Assistant Vice President","DOUGLAS",28358
"28359","University of Iowa","Assistant Vice President","INGHAM",28359
"28360","University of Iowa","Assistant Vice President","JOHNSON",28360
"28361","University of Iowa","Assistant Vice President","LINN",28361
"28362","University of Iowa","Assistant Vice President","Polk",28362
"28363","University of Iowa","Assistant Vice President","POLK",28363
"28364","University of Iowa","Assistant/Associate Counsel","JOHNSON",28364
"28365","University of Iowa","Assistant/Associate Counsel","LINN",28365
"28366","University of Iowa","Assistant/Associate Dean","JEFFERSON",28366
"28367","University of Iowa","Assistant/Associate Dean","JOHNSON",28367
"28368","University of Iowa","Assistant/Associate Dean","MUSCATINE",28368
"28369","University of Iowa","Assistant/Associate Dean","POWESHIEK",28369
"28370","University of Iowa","Assoc Budget/Financial Officer","JOHNSON",28370
"28371","University of Iowa","Assoc Budget/Financial Officer","WASHINGTON",28371
"28372","University of Iowa","Assoc Dean,Contin Education","IOWA",28372
"28373","University of Iowa","Assoc Dean,Contin Education","JOHNSON",28373
"28374","University of Iowa","Assoc Dir&Chf Ops Officer,UIHC","JOHNSON",28374
"28375","University of Iowa","Assoc Dir, Academic Advising","JOHNSON",28375
"28376","University of Iowa","Assoc Dir, Academic Advising","LINN",28376
"28377","University of Iowa","Assoc Dir, Academic Advising","WASHINGTON",28377
"28378","University of Iowa","Assoc Dir, E&A Project Mgmt","JOHNSON",28378
"28379","University of Iowa","Assoc Dir, E&A Project Mgmt","PORTER",28379
"28380","University of Iowa","Assoc Dir, E&A Project Mgmt","SAINT LOUIS",28380
"28381","University of Iowa","Assoc Dir, E&A Project Mgmt","ST LOUIS",28381
"28382","University of Iowa","Assoc Dir, Financial Aid","JOHNSON",28382
"28383","University of Iowa","Assoc Dir, Financial Aid","MUSCATINE",28383
"28384","University of Iowa","Assoc Dir, Int Prop Lic & Prot","JOHNSON",28384
"28385","University of Iowa","Assoc Dir, Landscape Services","JOHNSON",28385
"28386","University of Iowa","Assoc Dir, Lic, Market or IP","HENNEPIN",28386
"28387","University of Iowa","Assoc Dir, Lic, Market or IP","JOHNSON",28387
"28388","University of Iowa","Assoc Dir,Admissions","JOHNSON",28388
"28389","University of Iowa","Assoc Dir,Admissions","LEE",28389
"28390","University of Iowa","Assoc Dir,Admissions","LINN",28390
"28391","University of Iowa","Assoc Dir,Alumni Association","ARLINGTON",28391
"28392","University of Iowa","Assoc Dir,Alumni Association","JOHNSON",28392
"28393","University of Iowa","Assoc Dir,Animal Resources","JOHNSON",28393
"28394","University of Iowa","Assoc Dir,Campus & Fac Plan","JOHNSON",28394
"28395","University of Iowa","Assoc Dir,Campus & Fac Plan Ca","JOHNSON",28395
"28396","University of Iowa","Assoc Dir,Campus & Fac Plan Sp","JOHNSON",28396
"28397","University of Iowa","Assoc Dir,Campus Planning","JOHNSON",28397
"28398","University of Iowa","Assoc Dir,Edu Placement Office","JOHNSON",28398
"28399","University of Iowa","Assoc Dir,Facilities Mgmt","JOHNSON",28399
"28400","University of Iowa","Assoc Dir,Fin Mgmt & Control","JOHNSON",28400
"28401","University of Iowa","Assoc Dir,Fin Mgmt & Control","LINN",28401
"28402","University of Iowa","Assoc Dir,Fin Mgmt & Control","SAINT LOUIS",28402
"28403","University of Iowa","Assoc Dir,Financial Services","JOHNSON",28403
"28404","University of Iowa","Assoc Dir,Human Resources","JOHNSON",28404
"28405","University of Iowa","Assoc Dir,Hygienic Lab","JOHNSON",28405
"28406","University of Iowa","Assoc Dir,Landscape Services","JOHNSON",28406
"28407","University of Iowa","Assoc Dir,Nurs Educ & Prog Dev","JOHNSON",28407
"28408","University of Iowa","Assoc Dir,Nurs Educ & Prog Dev","SCOTT",28408
"28409","University of Iowa","Assoc Dir,Public Safety","JOHNSON",28409
"28410","University of Iowa","Assoc Dir,Public Safety","LINN",28410
"28411","University of Iowa","Assoc Dir,Public Safety","WASHINGTON",28411
"28412","University of Iowa","Assoc Dir,Purchasing","JOHNSON",28412
"28413","University of Iowa","Assoc Dir,Research Foundation","JOHNSON",28413
"28414","University of Iowa","Assoc Dir,Social Service","JOHNSON",28414
"28415","University of Iowa","Assoc Dir,Space Planning","JOHNSON",28415
"28416","University of Iowa","Assoc Dir,Univ Relations","JOHNSON",28416
"28417","University of Iowa","Assoc Dir,Univ Relations","LINN",28417
"28418","University of Iowa","Assoc Dir,University Libraries","DEKALB",28418
"28419","University of Iowa","Assoc Dir,University Libraries","JOHNSON",28419
"28420","University of Iowa","Assoc Director, Nursing Svcs","JOHNSON",28420
"28421","University of Iowa","Assoc Professor of Instruction","JOHNSON",28421
"28422","University of Iowa","Assoc Professor of Instruction","POWESHIEK",28422
"28423","University of Iowa","Assoc Registrar-Sys, Svcs","JOHNSON",28423
"28424","University of Iowa","Assoc Research Scientist/Engin","ALLEGHENY",28424
"28425","University of Iowa","Assoc Research Scientist/Engin","BLUE EARTH",28425
"28426","University of Iowa","Assoc Research Scientist/Engin","BOONE",28426
"28427","University of Iowa","Assoc Research Scientist/Engin","CONTRA COSTA",28427
"28428","University of Iowa","Assoc Research Scientist/Engin","CUYAHOGA",28428
"28429","University of Iowa","Assoc Research Scientist/Engin","FOREIGN",28429
"28430","University of Iowa","Assoc Research Scientist/Engin","FRANKLIN",28430
"28431","University of Iowa","Assoc Research Scientist/Engin","FULTON",28431
"28432","University of Iowa","Assoc Research Scientist/Engin","HARTFORD",28432
"28433","University of Iowa","Assoc Research Scientist/Engin","JOHNSON",28433
"28434","University of Iowa","Assoc Research Scientist/Engin","JONES",28434
"28435","University of Iowa","Assoc Research Scientist/Engin","LINN",28435
"28436","University of Iowa","Assoc Research Scientist/Engin","MAHASKA",28436
"28437","University of Iowa","Assoc Research Scientist/Engin","MIAMI-DADE",28437
"28438","University of Iowa","Assoc Research Scientist/Engin","NORFOLK",28438
"28439","University of Iowa","Assoc Research Scientist/Engin","PHILADELPHIA",28439
"28440","University of Iowa","Assoc Research Scientist/Engin","POLK",28440
"28441","University of Iowa","Assoc Research Scientist/Engin","QUEENS",28441
"28442","University of Iowa","Assoc Research Scientist/Engin","ROCK ISLAND",28442
"28443","University of Iowa","Assoc Research Scientist/Engin","WASHINGTON",28443
"28444","University of Iowa","Assoc Univ Business Mgr","JOHNSON",28444
"28445","University of Iowa","Associate","ALACHUA",28445
"28446","University of Iowa","Associate","BENTON",28446
"28447","University of Iowa","Associate","BOONE",28447
"28448","University of Iowa","Associate","BOULDER",28448
"28449","University of Iowa","Associate","CADDO PARISH",28449
"28450","University of Iowa","Associate","CHARLESTON",28450
"28451","University of Iowa","Associate","CHITTENDEN",28451
"28452","University of Iowa","Associate","CLARKE",28452
"28453","University of Iowa","Associate","COOK",28453
"28454","University of Iowa","Associate","DALLAS",28454
"28455","University of Iowa","Associate","DANE",28455
"28456","University of Iowa","Associate","DELAWARE",28456
"28457","University of Iowa","Associate","DENVER",28457
"28458","University of Iowa","Associate","DOUGLAS",28458
"28459","University of Iowa","Associate","DUBUQUE",28459
"28460","University of Iowa","Associate","DUPAGE",28460
"28461","University of Iowa","Associate","ERIE",28461
"28462","University of Iowa","Associate","FOREIGN",28462
"28463","University of Iowa","Associate","FRANKLIN",28463
"28464","University of Iowa","Associate","GREENE",28464
"28465","University of Iowa","Associate","HARRIS",28465
"28466","University of Iowa","Associate","HENNEPIN",28466
"28467","University of Iowa","Associate","IOWA",28467
"28468","University of Iowa","Associate","JACKSON",28468
"28469","University of Iowa","Associate","JOHNSON",28469
"28470","University of Iowa","Associate","KEOKUK",28470
"28471","University of Iowa","Associate","KING",28471
"28472","University of Iowa","Associate","LANCASTER",28472
"28473","University of Iowa","Associate","LEHIGH",28473
"28474","University of Iowa","Associate","Linn",28474
"28475","University of Iowa","Associate","LINN",28475
"28476","University of Iowa","Associate","LOS ANGELES",28476
"28477","University of Iowa","Associate","MARICOPA",28477
"28478","University of Iowa","Associate","MARSHALL",28478
"28479","University of Iowa","Associate","MONONGALIA",28479
"28480","University of Iowa","Associate","MONTGOMERY",28480
"28481","University of Iowa","Associate","MONTOUR",28481
"28482","University of Iowa","Associate","MULTNOMAH",28482
"28483","University of Iowa","Associate","NEW HAVEN",28483
"28484","University of Iowa","Associate","OAKLAND",28484
"28485","University of Iowa","Associate","OLMSTED",28485
"28486","University of Iowa","Associate","PHILADELPHIA",28486
"28487","University of Iowa","Associate","POLK",28487
"28488","University of Iowa","Associate","PUTNAM",28488
"28489","University of Iowa","Associate","RAMSEY",28489
"28490","University of Iowa","Associate","SAINT LOUIS",28490
"28491","University of Iowa","Associate","SAN DIEGO",28491
"28492","University of Iowa","Associate","SCOTT",28492
"28493","University of Iowa","Associate","SOMERSET",28493
"28494","University of Iowa","Associate","ST LOUIS",28494
"28495","University of Iowa","Associate","SUFFOLK",28495
"28496","University of Iowa","Associate","TAMA",28496
"28497","University of Iowa","Associate","WASHINGTON",28497
"28498","University of Iowa","Associate","WESTCHESTER",28498
"28499","University of Iowa","Associate","WILL",28499
"28500","University of Iowa","Associate Athletics Director","JOHNSON",28500
"28501","University of Iowa","Associate Athletics Director","SUSSEX",28501
"28502","University of Iowa","Associate Chemist","BENTON",28502
"28503","University of Iowa","Associate Chemist","DAKOTA",28503
"28504","University of Iowa","Associate Chemist","IOWA",28504
"28505","University of Iowa","Associate Chemist","JOHNSON",28505
"28506","University of Iowa","Associate Chemist","LINN",28506
"28507","University of Iowa","Associate Chemist","WAPELLO",28507
"28508","University of Iowa","Associate Chemist","WASHINGTON",28508
"28509","University of Iowa","Associate Comm Infra Engineer","CEDAR",28509
"28510","University of Iowa","Associate Comm Infra Engineer","IOWA",28510
"28511","University of Iowa","Associate Comm Infra Engineer","Johnson",28511
"28512","University of Iowa","Associate Comm Infra Engineer","JOHNSON",28512
"28513","University of Iowa","Associate Comm Infra Engineer","LINN",28513
"28514","University of Iowa","Associate Comm Infra Engineer","MUSCATINE",28514
"28515","University of Iowa","Associate Comm Infra Engineer","ROCK ISLAND",28515
"28516","University of Iowa","Associate Comm Infra Engineer","WASHINGTON",28516
"28517","University of Iowa","Associate Controller","CEDAR",28517
"28518","University of Iowa","Associate Controller","JOHNSON",28518
"28519","University of Iowa","Associate Counsel","JOHNSON",28519
"28520","University of Iowa","Associate Counsel","LINN",28520
"28521","University of Iowa","Associate Counsel","WASHINGTON",28521
"28522","University of Iowa","Associate Counsel, BOR","POLK",28522
"28523","University of Iowa","Associate Dean","BALTIMORE",28523
"28524","University of Iowa","Associate Dean","DISTRICT OF COLUMBIA",28524
"28525","University of Iowa","Associate Dean","IOWA",28525
"28526","University of Iowa","Associate Dean","JOHNSON",28526
"28527","University of Iowa","Associate Dean","Linn",28527
"28528","University of Iowa","Associate Dean","LINN",28528
"28529","University of Iowa","Associate Dean","LOUISA",28529
"28530","University of Iowa","Associate Dean","MARICOPA",28530
"28531","University of Iowa","Associate Dean","MUSCATINE",28531
"28532","University of Iowa","Associate Dean","SCOTT",28532
"28533","University of Iowa","Associate Dir, Law Librarians","JOHNSON",28533
"28534","University of Iowa","Associate Dir, Univ Libraries","JOHNSON",28534
"28535","University of Iowa","Associate Dir,Athletics","JOHNSON",28535
"28536","University of Iowa","Associate Director","ADAMS",28536
"28537","University of Iowa","Associate Director","ALAMEDA",28537
"28538","University of Iowa","Associate Director","BLACK HAWK",28538
"28539","University of Iowa","Associate Director","CEDAR",28539
"28540","University of Iowa","Associate Director","HENNEPIN",28540
"28541","University of Iowa","Associate Director","IOWA",28541
"28542","University of Iowa","Associate Director","JOHNSON",28542
"28543","University of Iowa","Associate Director","Linn",28543
"28544","University of Iowa","Associate Director","LINN",28544
"28545","University of Iowa","Associate Director","ROCK ISLAND",28545
"28546","University of Iowa","Associate Director","SCOTT",28546
"28547","University of Iowa","Associate Director","WASHINGTON",28547
"28548","University of Iowa","Associate Director,Placement","JOHNSON",28548
"28549","University of Iowa","Associate Director,Placement","LINN",28549
"28550","University of Iowa","Associate Director,Placement","MUSCATINE",28550
"28551","University of Iowa","Associate Director,Placement","SCOTT",28551
"28552","University of Iowa","Associate Editor I","FAIRFAX",28552
"28553","University of Iowa","Associate Editor I","JOHNSON",28553
"28554","University of Iowa","Associate Editor I","KEOKUK",28554
"28555","University of Iowa","Associate Editor I","MUSCATINE",28555
"28556","University of Iowa","Associate Editor I","ROCK",28556
"28557","University of Iowa","Associate Editor II","CEDAR",28557
"28558","University of Iowa","Associate Editor II","IOWA",28558
"28559","University of Iowa","Associate Editor II","JOHNSON",28559
"28560","University of Iowa","Associate Editor II","KING",28560
"28561","University of Iowa","Associate Editor II","LINN",28561
"28562","University of Iowa","Associate Editor II","LUBBOCK",28562
"28563","University of Iowa","Associate Editor II","STORY",28563
"28564","University of Iowa","Associate Industrial Hygienist","JOHNSON",28564
"28565","University of Iowa","Associate Network Engineer","CEDAR",28565
"28566","University of Iowa","Associate Network Engineer","JOHNSON",28566
"28567","University of Iowa","Associate Network Engineer","LINN",28567
"28568","University of Iowa","Associate Professor","ADA",28568
"28569","University of Iowa","Associate Professor","ALAMEDA",28569
"28570","University of Iowa","Associate Professor","ARAPAHOE",28570
"28571","University of Iowa","Associate Professor","BALTIMORE",28571
"28572","University of Iowa","Associate Professor","BEXAR",28572
"28573","University of Iowa","Associate Professor","BUCKS",28573
"28574","University of Iowa","Associate Professor","CEDAR",28574
"28575","University of Iowa","Associate Professor","CENTRE",28575
"28576","University of Iowa","Associate Professor","CHAMPAIGN",28576
"28577","University of Iowa","Associate Professor","CLACKAMAS",28577
"28578","University of Iowa","Associate Professor","CLARKE",28578
"28579","University of Iowa","Associate Professor","COLLIN",28579
"28580","University of Iowa","Associate Professor","COOK",28580
"28581","University of Iowa","Associate Professor","DANE",28581
"28582","University of Iowa","Associate Professor","DAVIDSON",28582
"28583","University of Iowa","Associate Professor","DEKALB",28583
"28584","University of Iowa","Associate Professor","DELAWARE",28584
"28585","University of Iowa","Associate Professor","DESCHUTES",28585
"28586","University of Iowa","Associate Professor","DUBUQUE",28586
"28587","University of Iowa","Associate Professor","EAST BATON ROUGE",28587
"28588","University of Iowa","Associate Professor","FAIRFAX",28588
"28589","University of Iowa","Associate Professor","FAYETTE",28589
"28590","University of Iowa","Associate Professor","FOREIGN",28590
"28591","University of Iowa","Associate Professor","GALLATIN",28591
"28592","University of Iowa","Associate Professor","HAMILTON",28592
"28593","University of Iowa","Associate Professor","HARRIS",28593
"28594","University of Iowa","Associate Professor","HARTFORD",28594
"28595","University of Iowa","Associate Professor","INGHAM",28595
"28596","University of Iowa","Associate Professor","IOWA",28596
"28597","University of Iowa","Associate Professor","Johnson",28597
